1.5000,6.0000
1.5024,6.0102
1.5048,6.0203
1.5072,6.0305
1.5096,6.0406
1.5120,6.0508
1.5144,6.0609
1.5169,6.0711
1.5193,6.0813
1.5217,6.0914
1.5241,6.1016
1.5265,6.1117
1.5289,6.1219
1.5313,6.1320
1.5337,6.1422
1.5361,6.1524
1.5385,6.1625
1.5409,6.1727
1.5433,6.1828
1.5458,6.1930
1.5482,6.2031
1.5506,6.2133
1.5530,6.2235
1.5554,6.2336
1.5578,6.2438
1.5602,6.2539
1.5626,6.2641
1.5650,6.2742
1.5674,6.2844
1.5698,6.2946
1.5722,6.3047
1.5746,6.3149
1.5771,6.3250
1.5795,6.3352
1.5819,6.3453
1.5843,6.3555
1.5867,6.3657
1.5891,6.3758
1.5915,6.3860
1.5939,6.3961
1.5963,6.4063
1.5987,6.4164
1.6011,6.4266
1.6035,6.4368
1.6060,6.4469
1.6084,6.4571
1.6108,6.4672
1.6132,6.4774
1.6156,6.4875
1.6180,6.4977
1.6204,6.5079
1.6228,6.5180
1.6252,6.5282
1.6276,6.5383
1.6300,6.5485
1.6324,6.5586
1.6348,6.5688
1.6373,6.5790
1.6397,6.5891
1.6421,6.5993
1.6445,6.6094
1.6469,6.6196
1.6493,6.6297
1.6517,6.6399
1.6541,6.6501
1.6565,6.6602
1.6589,6.6704
1.6613,6.6805
1.6637,6.6907
1.6662,6.7008
1.6686,6.7110
1.6710,6.7212
1.6734,6.7313
1.6758,6.7415
1.6782,6.7516
1.6806,6.7618
1.6830,6.7719
1.6854,6.7821
1.6878,6.7923
1.6902,6.8024
1.6926,6.8126
1.6951,6.8227
1.6975,6.8329
1.6999,6.8430
1.7023,6.8532
1.7047,6.8634
1.7071,6.8735
1.7095,6.8837
1.7119,6.8938
1.7143,6.9040
1.7167,6.9141
1.7191,6.9243
1.7215,6.9345
1.7239,6.9446
1.7264,6.9548
1.7288,6.9649
1.7312,6.9751
1.7336,6.9852
1.7360,6.9954
1.7384,7.0056
1.7408,7.0157
1.7432,7.0259
1.7456,7.0360
1.7480,7.0462
